feature,consensus_rank,mean_abs_shap,sd_abs_shap,mean_signed_shap,sd_signed_shap,mean_rank,sd_rank,min_rank,max_rank,top5_fold_count,top10_fold_count,top20_fold_count,rank_fold_1,rank_fold_2,rank_fold_3,rank_fold_4,rank_fold_5,mean_abs_shap_fold_1,mean_abs_shap_fold_2,mean_abs_shap_fold_3,mean_abs_shap_fold_4,mean_abs_shap_fold_5
Age,1,0.010305221365188499,0.0003859023042438596,-7.131024485179999e-05,0.001405179849894687,1.0,0.0,1,1,5,5,5,1,1,1,1,1,0.0101167365044468,0.0105518698634937,0.0106070039104609,0.0097108408671417,0.0105396556803994
prev_ab_all_label_mean,2,0.00577419748420878,0.003140551069013083,-0.00026886579183667996,0.0032666687268073343,2.4,0.5477225575051662,2,3,5,5,5,2,2,2,3,3,0.0060884367674602,0.0093328876834566,0.0082387014031155,0.0020888033299521,0.0031221582370595
YearMonthIndex,3,0.00607505937578456,0.0008851925944662887,0.0004407577053816042,0.0007154340798676516,2.6,0.5477225575051662,2,3,5,5,5,3,3,3,2,2,0.0057204841056207,0.0057989909951427,0.0075240054601714,0.005166873013775,0.006164943304213
TestDate_year,4,0.0017957766376890199,0.00026250520157565765,9.610291496566365e-05,0.00030520211713584965,4.2,0.4472135954999579,4,5,5,5,5,4,4,4,5,4,0.0020388462637568,0.0020444732305466,0.0018532377998254,0.0015381326524204,0.0015041932418959
err_stats_mean,5,0.00148906061437126,0.0002668969203865267,0.00011252027596106997,0.00016368261173238695,5.2,0.4472135954999579,5,6,4,5,5,5,5,5,6,5,0.0019333827045465,0.0014771250897263,0.001285805500785,0.001274975956665,0.0014740138201335
acc_stats_std,6,0.00131608987194708,0.00021492908516211964,-6.352934925151645e-05,0.00025626137086919276,6.4,1.51657508881031,4,8,1,5,5,7,8,6,4,7,0.0014754270394385,0.001165148037149,0.0011258171006539,0.0016118002290862,0.0012022569534078
prev_ab_YearMonthIndex_mean,7,0.00113076236897434,0.0004291338187769825,0.0001385294309883841,0.0003403017879686462,7.2,1.3038404810405297,6,9,0,5,5,6,6,7,8,9,0.0017782864377641,0.0012834950156649,0.0010949617737456,0.0007648191811467,0.0007322494365504
prev_YearMonthIndex_mean,8,0.0011280823267536201,0.00031180701756472636,-6.803843673030164e-05,0.0003276535586117772,8.4,2.0736441353327724,6,11,0,4,5,8,10,11,7,6,0.0014562071153915,0.0009204345347062,0.0007815337448472,0.0010261054664297,0.0014561307723935
prev_YearMonthIndex_sum,9,0.00068210261221276,9.389262387226413e-05,-6.236997750856587e-05,0.00015686600465035646,10.8,1.4832396974191326,9,13,0,2,5,10,11,13,9,11,0.0008210455166441,0.0007043359565375,0.0006955255779883,0.0005902627345225,0.0005993432753714
err_stats_std,10,0.0006320366180755999,0.00017941079906362296,5.420700547061546e-05,9.075271858995718e-05,11.6,2.6076809620810595,8,14,0,2,5,14,14,12,10,8,0.0004528856940096,0.0005026003041551,0.0007254158569068,0.000584677391963,0.0008946038433435
prev_ab_all_label_sum,11,0.0008230941313825599,0.0004434508641837701,3.374699789278001e-05,0.0004375775775741168,12.6,6.348228099241551,7,23,0,3,4,9,7,10,23,14,0.0013283825025155,0.0011876932746755,0.0008183872599204,0.0002808341345782,0.0005001734852232
rt_std_stats_mean,12,0.00053843353518866,0.0002443445771562026,-2.3526010201583527e-05,5.7553741036935315e-05,14.8,4.324349662087931,8,20,0,1,5,20,15,8,15,16,0.000344542469199,0.0004638609089003,0.0009653095000641,0.0004381092309137,0.0004803455668662
rt_std_stats_std,13,0.00048565813074794,0.0002000004631633188,7.993911460793756e-05,7.40944650886874e-05,16.0,4.690415759823429,9,21,0,1,4,17,21,9,14,19,0.0004032660706488,0.000299926341815,0.0008262342301836,0.0004564764456757,0.0004423875654166
err_stats_skew,14,0.00046808579986576,0.0001435576463581943,1.953150109540377e-05,0.00011564520794265083,16.2,6.942621983083913,10,26,0,1,3,12,26,21,12,10,0.0005004878145566,0.0002481285311618,0.0004451783776581,0.000501441962614,0.0006451923133383
other_test_YearMonthIndex_mean,15,0.00046226142583989996,0.00014098620040716619,3.222693630768734e-05,0.0002540864312773317,17.0,5.0,12,24,0,0,4,13,12,20,16,24,0.0004887850397225,0.0006661186347568,0.0004478300660846,0.0004371173096158,0.0002714560790198
