feature,mean_abs_shap_original,mean_abs_shap_new
Age,0.0101147390703983,0.0101167365044468
prev_ab_all_label_mean,0.0061233064936311,0.0060884367674602
YearMonthIndex,0.0058364508214415,0.0057204841056207
TestDate_year,0.0019950305885918,0.0020388462637568
err_stats_mean,0.0019176138150928,0.0019333827045465
prev_ab_YearMonthIndex_mean,0.0018085182671703,0.0017782864377641
prev_YearMonthIndex_mean,0.0014906307389414,0.0014562071153915
acc_stats_std,0.0014634811829809,0.0014754270394385
prev_ab_all_label_sum,0.0013039258024885,0.0013283825025155
prev_YearMonthIndex_sum,0.0008043859349913,0.0008210455166441
prev_all_label_mean,0.0006545956849915,0.0006228645214327
other_test_YearMonthIndex_mean,0.000504117446398,0.0004887850397225
err_stats_skew,0.0004895324749546,0.0005004878145566
err_stats_std,0.0004384600555318,0.0004528856940096
rt_mean_stats_mean,0.0004274257530328,0.0004222273729774
prev_ab_YearMonthIndex_sum,0.0004118955918239,0.0004041217805864
rt_std_stats_std,0.0003998081028788,0.0004032660706488
rt_mean_stats_skew,0.0003903524820088,0.0004020448014472
rt_mean_stats_kurt,0.0003771164570285,0.0003826093154188
rt_std_stats_mean,0.0003297060975946,0.000344542469199
other_test_Label_mean,0.0003142670800403,0.0003169366093205
prev_all_label_sum,0.0003137903017139,0.0003395730653398
acc_stats_kurt,0.0002802605051913,0.000284214775741
other_test_Test_id_count,0.0002585768484807,0.0002519355431976
err_stats_kurt,0.0002475376230135,0.0002459029236823
acc_stats_mean,0.0002442397790168,0.0002443049498579
TestDate_month,0.0002229723667523,0.0002233818360602
rt_mean_stats_std,0.0002223833897334,0.0002224615262765
acc_stats_skew,0.0002200514226698,0.0002270706869694
rt_std_stats_kurt,0.0002159638104787,0.0002187799390803
rt_std_stats_skew,0.0001607623375622,0.0001579026686462
prev_YearMonthIndex_std,0.0001040557753893,0.000110721220889
isna_sum,8.631458396693298e-05,8.895476806353114e-05
prev_ab_YearMonthIndex_std,7.704389913767638e-05,7.823849490375073e-05
prev_ab_all_label_std,4.51128865937035e-05,4.987978292494827e-05
prev_all_label_std,4.019720227544724e-05,4.5448119142996246e-05
other_test_YearMonthIndex_std,1.272691688611384e-06,3.584882004859433e-06
