feature,rank_fold_1,rank_fold_2,rank_fold_3,rank_fold_4,rank_fold_5
Age,1,1,1,1,1
TestDate_month,28,24,26,19,26
TestDate_year,4,4,4,5,4
YearMonthIndex,3,3,3,2,2
acc_stats_kurt,23,23,25,21,12
acc_stats_mean,26,22,17,24,23
acc_stats_skew,27,25,14,20,15
acc_stats_std,7,8,6,4,7
err_stats_kurt,25,20,30,25,25
err_stats_mean,5,5,5,6,5
err_stats_skew,12,26,21,12,10
err_stats_std,14,14,12,10,8
isna_sum,33,32,35,31,34
other_test_Label_mean,22,27,22,30,28
other_test_Test_id_count,24,30,27,29,32
other_test_YearMonthIndex_mean,13,12,20,16,24
other_test_YearMonthIndex_std,37,37,34,35,37
prev_YearMonthIndex_mean,8,10,11,7,6
prev_YearMonthIndex_std,32,36,33,34,33
prev_YearMonthIndex_sum,10,11,13,9,11
prev_ab_YearMonthIndex_mean,6,6,7,8,9
prev_ab_YearMonthIndex_std,34,34,32,33,31
prev_ab_YearMonthIndex_sum,16,13,18,22,20
prev_ab_all_label_mean,2,2,2,3,3
prev_ab_all_label_std,35,33,36,36,35
prev_ab_all_label_sum,9,7,10,23,14
prev_all_label_mean,11,9,23,27,21
prev_all_label_std,36,35,37,37,36
prev_all_label_sum,21,19,29,32,30
rt_mean_stats_kurt,19,18,24,11,17
rt_mean_stats_mean,15,16,19,13,22
rt_mean_stats_skew,18,17,16,17,18
rt_mean_stats_std,29,28,15,18,13
rt_std_stats_kurt,30,31,31,28,29
rt_std_stats_mean,20,15,8,15,16
rt_std_stats_skew,31,29,28,26,27
rt_std_stats_std,17,21,9,14,19
