fold_left,fold_right,k,intersection,overlap_rate,jaccard
1,2,5,5,1.0,1.0
1,2,10,9,0.9,0.8181818181818182
1,2,20,18,0.9,0.8181818181818182
1,3,5,5,1.0,1.0
1,3,10,8,0.8,0.6666666666666666
1,3,20,17,0.85,0.7391304347826086
1,4,5,4,0.8,0.6666666666666666
1,4,10,9,0.9,0.8181818181818182
1,4,20,17,0.85,0.7391304347826086
1,5,5,5,1.0,1.0
1,5,10,8,0.8,0.6666666666666666
1,5,20,17,0.85,0.7391304347826086
2,3,5,5,1.0,1.0
2,3,10,8,0.8,0.6666666666666666
2,3,20,16,0.8,0.6666666666666666
2,4,5,4,0.8,0.6666666666666666
2,4,10,8,0.8,0.6666666666666666
2,4,20,15,0.75,0.6
2,5,5,5,1.0,1.0
2,5,10,8,0.8,0.6666666666666666
2,5,20,15,0.75,0.6
3,4,5,4,0.8,0.6666666666666666
3,4,10,7,0.7,0.5384615384615384
3,4,20,17,0.85,0.7391304347826086
3,5,5,5,1.0,1.0
3,5,10,7,0.7,0.5384615384615384
3,5,20,17,0.85,0.7391304347826086
4,5,5,4,0.8,0.6666666666666666
4,5,10,9,0.9,0.8181818181818182
4,5,20,17,0.85,0.7391304347826086
